Country,Mapped Value,Continent
United States of America,United States of America,North America
United Kingdom,United Kingdom,Europe
France,France,Europe
India,India,Asia
Germany,Germany,Europe
Canada,North America,North America
China,Asia,Asia
Japan,Asia,Asia
Spain,Europe,Europe
Italy,Europe,Europe
Russia,Asia,Asia
Australia,Australia,Oceania
Brazil,South America,South America
Belgium,Europe,Europe
Hong Kong,Asia,Asia
Turkey,Asia,Asia
Mexico,North America,North America
South Korea,Asia,Asia
Iran,Asia,Asia
Sweden,Europe,Europe
Argentina,South America,South America
Ireland,Europe,Europe
Denmark,Europe,Europe
Netherlands,Europe,Europe
Norway,Europe,Europe
Czech Republic,Europe,Europe
Switzerland,Europe,Europe
Hungary,Europe,Europe
New Zealand,Australia,Oceania
Thailand,Asia,Asia
Finland,Europe,Europe
Indonesia,Asia,Asia
Egypt,Africa,Africa
South Africa,Africa,Africa
Pakistan,Asia,Asia
Romania,Europe,Europe
Luxembourg,Europe,Europe
Poland,Europe,Europe
Taiwan,Asia,Asia
Philippines,Asia,Asia
Israel,Asia,Asia
Ukraine,Europe,Europe
Bulgaria,Europe,Europe
Austria,Europe,Europe
United Arab Emirates,Asia,Asia
Malaysia,Asia,Asia
Singapore,Asia,Asia
Colombia,South America,South America
Peru,South America,South America
Morocco,Africa,Africa
Greece,Europe,Europe
Portugal,Europe,Europe
Chile,South America,South America
Vietnam,Asia,Asia
Bangladesh,Asia,Asia
Iceland,Europe,Europe
Uruguay,South America,South America
Nigeria,Africa,Africa
Serbia,Europe,Europe
Venezuela,South America,South America
Malta,Europe,Europe
Lebanon,Asia,Asia
Slovakia,Europe,Europe
Saudi Arabia,Asia,Asia
Kuwait,Asia,Asia
Soviet Union,Asia,Asia
Puerto Rico,North America,North America
Guatemala,North America,North America
Kenya,Africa,Africa
Iraq,Asia,Asia
Georgia,Asia,Asia
Croatia,Europe,Europe
Estonia,Europe,Europe
Sri Lanka,Asia,Asia
Paraguay,South America,South America
Uganda,Africa,Africa
Tunisia,Africa,Africa
Costa Rica,North America,North America
Nepal,Asia,Asia
Qatar,Asia,Asia
Algeria,Africa,Africa
Kazakhstan,Asia,Asia
Slovenia,Europe,Europe
Bahamas,North America,North America
Aruba,North America,North America
Belarus,Europe,Europe
Yugoslavia,Europe,Europe
Lithuania,Europe,Europe
Tanzania,Africa,Africa
Dominican Republic,North America,North America
East Germany,Europe,Europe
Montenegro,Europe,Europe
Ethiopia,Africa,Africa
Maldives,Asia,Asia
Afghanistan,Asia,Asia
Libyan Arab Jamahiriya,Africa,Africa
Palestinian Territory,Asia,Asia
Latvia,Europe,Europe
Bhutan,Asia,Asia
Bolivia,South America,South America
Bosnia and Herzegovina,Europe,Europe
Cambodia,Asia,Asia
Cyprus,Asia,Asia
Ecuador,South America,South America
Honduras,North America,North America
Ghana,Africa,Africa
Zimbabwe,Africa,Africa
Burundi,Africa,Africa
American Samoa,Australia,Oceania
Andorra,Europe,Europe
Azerbaijan,Asia,Asia
Uzbekistan,Asia,Asia
Bahrain,Asia,Asia
Nicaragua,North America,North America
Namibia,Africa,Africa
Myanmar,Asia,Asia
Botswana,Africa,Africa
Burkina Faso,Africa,Africa
Macao,Asia,Asia
Liechtenstein,Europe,Europe
Cote D'Ivoire,Africa,Africa
Mali,Africa,Africa
Malawi,Africa,Africa
Syrian Arab Republic,Asia,Asia
North Korea,Asia,Asia
Guadaloupe,North America,North America
Sudan,Africa,Africa
Macedonia,Europe,Europe
Solomon Islands,Australia,Australia
Albania,Europe,Europe
Mongolia,Asia,Asia
